width,curb-weight,engine-size,horsepower,highway-mpg,price
68.4,3430,152,95.0,25,13860.0
68.4,3075,120,95.0,24,15580.0
68.4,3252,152,95.0,33,16900.0
68.4,3285,120,95.0,24,16695.0
68.4,3485,152,95.0,25,17075.0
68.4,3075,120,97.0,24,16630.0
68.4,3252,152,95.0,33,17950.0
68.3,3130,134,142.0,24,18150.0
63.8,1918,90,68.0,41,5572.0
63.8,2128,98,102.0,30,7957.0
63.8,1967,90,68.0,38,6229.0
63.8,1989,90,68.0,38,6692.0
63.8,2191,98,68.0,38,7609.0
64.6,2535,122,88.0,30,8921.0
66.3,2818,156,145.0,24,12764.0
68.3,2778,151,143.0,27,22018.0
65.0,2756,194,207.0,25,32528.0
65.0,2756,194,207.0,25,34028.0
65.0,2800,194,207.0,25,37028.0
72.3,3366,203,288.0,28,10295.0
66.5,2579,132,95.0,31,9295.0
66.6,2460,132,95.0,31,9895.0
66.5,2658,121,110.0,28,11850.0
66.5,2695,121,110.0,28,12170.0
66.5,2707,121,110.0,28,15040.0
66.5,2758,121,110.0,28,15510.0
66.5,2808,121,160.0,26,18150.0
66.5,2847,121,160.0,26,18620.0
63.4,2050,97,69.0,36,5118.0
63.6,2120,108,73.0,31,7053.0
63.8,2240,108,73.0,31,7603.0
65.4,2145,108,82.0,37,7126.0
65.4,2190,108,82.0,33,7775.0
65.4,2340,108,94.0,32,9960.0
65.4,2385,108,82.0,25,9233.0
65.4,2510,108,111.0,29,11259.0
65.4,2290,108,82.0,32,7463.0
65.4,2455,108,94.0,31,10198.0
65.4,2420,108,82.0,29,8013.0
65.4,2650,108,111.0,23,11694.0
63.6,1985,92,62.0,39,5348.0
63.6,2040,92,62.0,38,6338.0
63.6,2015,92,62.0,38,6488.0
63.6,2280,92,62.0,37,6918.0
63.6,2290,92,62.0,32,7898.0
63.6,3110,92,62.0,32,8778.0
64.4,2081,98,70.0,37,6938.0
64.4,2109,98,70.0,37,7198.0
64.4,2275,110,56.0,36,7898.0
64.4,2275,110,56.0,47,7788.0
64.4,2094,98,70.0,47,7738.0
64.4,2122,98,70.0,34,8358.0
64.4,2140,98,70.0,34,9258.0
64.0,2169,98,70.0,34,8058.0
64.0,2204,98,70.0,34,8238.0
64.0,2265,98,112.0,29,9298.0
64.0,2300,98,112.0,29,9538.0
65.6,2540,146,116.0,30,8449.0
65.6,2536,146,116.0,30,9639.0
65.6,2551,146,116.0,30,9989.0
65.6,2679,146,116.0,30,11199.0
65.6,2714,146,116.0,30,11549.0
65.6,2975,146,116.0,30,17669.0
66.5,2326,122,92.0,34,8948.0
66.5,2480,110,73.0,33,10698.0
66.5,2414,122,92.0,32,9988.0
66.5,2414,122,92.0,32,10898.0
66.5,2458,122,92.0,32,11248.0
67.7,2976,171,161.0,24,16558.0
67.7,3016,171,161.0,24,15998.0
66.5,3131,171,156.0,24,15690.0
66.5,3151,161,156.0,24,15750.0
65.5,2261,97,52.0,46,7775.0
65.5,2209,109,85.0,34,7975.0
65.5,2264,97,52.0,46,7995.0
65.5,2212,109,85.0,34,8195.0
65.5,2275,109,85.0,34,8495.0
65.5,2319,97,68.0,42,9495.0
65.5,2300,109,100.0,32,9995.0
64.2,2254,109,90.0,29,11595.0
64.0,2221,109,90.0,29,9980.0
66.9,2661,136,110.0,24,13295.0
66.9,2579,97,68.0,38,13845.0
66.9,2563,109,88.0,31,12290.0
67.2,2912,141,114.0,28,12940.0
67.2,3034,141,114.0,28,13415.0
67.2,2935,141,114.0,28,15985.0
67.2,3042,141,114.0,28,16515.0
67.2,3045,130,162.0,22,18420.0
67.2,3157,130,162.0,22,18950.0
68.9,2952,141,114.0,28,16845.0
68.8,3049,141,160.0,25,19045.0
68.9,3012,173,134.0,23,21485.0
68.9,3217,145,106.0,27,22470.0
68.9,3062,141,114.0,25,22625.0
